nohup: ignoring input

=== Treinando com mask_00_exec100p (18/18 blocos ativos) ===
[mask_02_exec50p] epoch 9/20 | train_loss 0.1378 acc 95.29 | val_loss 0.3300 acc 89.66 | 7.7s
[mask_02_exec50p] epoch 10/20 | train_loss 0.1337 acc 95.34 | val_loss 0.3454 acc 89.60 | 7.6s
[mask_02_exec50p] epoch 11/20 | train_loss 0.1274 acc 95.55 | val_loss 0.3392 acc 89.90 | 7.7s
[mask_02_exec50p] epoch 12/20 | train_loss 0.1245 acc 95.74 | val_loss 0.3289 acc 90.21 | 7.6s
[mask_02_exec50p] epoch 13/20 | train_loss 0.1167 acc 95.91 | val_loss 0.3384 acc 90.40 | 7.8s
[mask_02_exec50p] epoch 14/20 | train_loss 0.1100 acc 96.23 | val_loss 0.3447 acc 90.09 | 7.9s
[mask_02_exec50p] epoch 15/20 | train_loss 0.1077 acc 96.44 | val_loss 0.3688 acc 89.40 | 7.8s
[mask_02_exec50p] epoch 16/20 | train_loss 0.1094 acc 96.24 | val_loss 0.3617 acc 89.76 | 7.8s
[mask_02_exec50p] epoch 17/20 | train_loss 0.1019 acc 96.46 | val_loss 0.3612 acc 89.87 | 7.2s
[mask_02_exec50p] epoch 18/20 | train_loss 0.1016 acc 96.45 | val_loss 0.3431 acc 90.41 | 7.4s
[mask_02_exec50p] epoch 19/20 | train_loss 0.0976 acc 96.62 | val_loss 0.3497 acc 90.17 | 7.4s
[mask_02_exec50p] epoch 20/20 | train_loss 0.0939 acc 96.73 | val_loss 0.3568 acc 89.89 | 7.6s
[mask_02_exec50p] Fim. Best Val Acc = 90.41% | dir=save_mask_sweep/20250902_230826_mask_02_exec50p

=== Treinando com mask_03_exec50p (9/18 blocos ativos) ===
[mask_03_exec50p] epoch 1/20 | train_loss 0.7516 acc 76.28 | val_loss 0.5229 acc 82.88 | 7.9s
[mask_03_exec50p] epoch 2/20 | train_loss 0.3847 acc 86.55 | val_loss 0.4504 acc 85.23 | 7.8s
[mask_03_exec50p] epoch 3/20 | train_loss 0.3182 acc 88.98 | val_loss 0.4211 acc 86.31 | 7.5s
[mask_03_exec50p] epoch 4/20 | train_loss 0.2843 acc 90.10 | val_loss 0.4073 acc 86.93 | 8.0s
[mask_03_exec50p] epoch 5/20 | train_loss 0.2509 acc 91.20 | val_loss 0.3867 acc 87.53 | 7.3s
[mask_03_exec50p] epoch 6/20 | train_loss 0.2376 acc 91.55 | val_loss 0.4052 acc 87.48 | 7.5s
[mask_03_exec50p] epoch 7/20 | train_loss 0.2178 acc 92.34 | val_loss 0.4033 acc 87.68 | 7.9s
[mask_03_exec50p] epoch 8/20 | train_loss 0.2076 acc 92.71 | val_loss 0.3947 acc 88.31 | 7.8s
[mask_03_exec50p] epoch 9/20 | train_loss 0.2002 acc 92.98 | val_loss 0.3733 acc 88.36 | 7.8s
[mask_03_exec50p] epoch 10/20 | train_loss 0.1918 acc 93.19 | val_loss 0.3695 acc 89.01 | 7.6s
[mask_03_exec50p] epoch 11/20 | train_loss 0.1833 acc 93.53 | val_loss 0.3723 acc 88.76 | 7.1s
[mask_03_exec50p] epoch 12/20 | train_loss 0.1751 acc 93.84 | val_loss 0.3960 acc 88.35 | 7.2s
[mask_03_exec50p] epoch 13/20 | train_loss 0.1698 acc 94.09 | val_loss 0.3719 acc 89.04 | 7.9s
[mask_03_exec50p] epoch 14/20 | train_loss 0.1635 acc 94.27 | val_loss 0.3684 acc 89.26 | 7.0s
[mask_03_exec50p] epoch 15/20 | train_loss 0.1589 acc 94.34 | val_loss 0.3666 acc 89.34 | 7.6s
[mask_03_exec50p] epoch 16/20 | train_loss 0.1553 acc 94.52 | val_loss 0.3645 acc 89.56 | 7.7s
[mask_03_exec50p] epoch 17/20 | train_loss 0.1495 acc 94.72 | val_loss 0.3680 acc 89.35 | 7.8s
[mask_03_exec50p] epoch 18/20 | train_loss 0.1455 acc 94.85 | val_loss 0.3727 acc 88.96 | 7.7s
[mask_03_exec50p] epoch 19/20 | train_loss 0.1468 acc 94.81 | val_loss 0.3780 acc 89.32 | 6.9s
[mask_03_exec50p] epoch 20/20 | train_loss 0.1409 acc 95.08 | val_loss 0.3770 acc 89.16 | 8.1s
[mask_03_exec50p] Fim. Best Val Acc = 89.56% | dir=save_mask_sweep/20250902_230826_mask_03_exec50p

=== Treinando com mask_04_exec50p (9/18 blocos ativos) ===
[mask_04_exec50p] epoch 1/20 | train_loss 1.1850 acc 58.76 | val_loss 0.9381 acc 66.78 | 7.8s
[mask_04_exec50p] epoch 2/20 | train_loss 0.8164 acc 71.59 | val_loss 0.7886 acc 72.02 | 7.2s
[mask_04_exec50p] epoch 3/20 | train_loss 0.6882 acc 76.21 | val_loss 0.7128 acc 74.71 | 8.0s
[mask_04_exec50p] epoch 4/20 | train_loss 0.6186 acc 78.74 | val_loss 0.7230 acc 75.39 | 7.5s
